Distance (mi),Temperature (°F),Notes
2.91,27.7,"Thin xcountry pants, shirt, maroon hoodie, black shoulder season jacket, purple buff, biking gloves 

Can't sustain 25+ mph for more than a minute or two. Like head out of car window. Wind would make it worse.

Need: replace purple buff with balaclava. Thicker xcountry pants if colder. Ski goggles? Add glove liners if 5f colder."
6.58,31.6,"Thick ski pants, tshirt, biking hoodie, goretex, typing gloves, balaclava. High winds made the first half of the trip pretty cold all around, especially face"
22.04,34.9,Very cold
7.08,41.2,"Had: jeans, 150 weight merino long sleeve top
Change: add gloves, light buff"
10.82,41.9,Too many trails
6.64,48.0,"Had: merino long sleeve 150, merino short sleeve, jeans, light buff
Change: need gloves. Otherwise not so bad"
7.73,49.8,"Wore: merino t-shirt, Pearl hoodie, jeans
Change: nothing"
7.19,51.3,"Too warm
Had: jeans, merino t-shirt, Pearl hoodie
Change: replace both with single layer merino long sleeve and buff?"
60.22,52.2,Round trip with burrito
7.27,59.5,"Shorts and polyester shirt, temp little sweaty"
6.59,65.5,Mucho sweaty upon arrival.
15.93,67.5,"Old tire patch failure, shredded backup tire during installation."
7.31,68.7,Eco limited. Sweat medium
6.64,75.2,T-shirt shorts a bit hot
